GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.model,BaseEntity,11,6,2,0,3,2,3,2,2,2
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.model,Person,6,11,0,0,2,5,2,3,2,3
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.cards.hand,HandInGame,14,0,0,0,6,0,2,0,2,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.cards.hand,Hand,0,3,0,0,0,1,0,1,0,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.cards.hand,HandService,160,14,8,0,37,5,10,1,6,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.exceptions,ResourceNotFoundException,0,23,0,0,0,4,0,2,0,2
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.exceptions,AccessDeniedException,8,0,0,0,4,0,2,0,2,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.exceptions,BadRequestException,15,0,0,0,6,0,2,0,2,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.exceptions,LobbyNotFound,4,0,0,0,2,0,1,0,1,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.exceptions,ResourceNotOwnedException,13,0,0,0,2,0,1,0,1,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.exceptions,ExceptionHandlerController,80,44,0,0,12,7,4,3,4,3
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.exceptions,PlayerNotInTheGame,4,0,0,0,2,0,1,0,1,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.exceptions,AlreadyCreatedException,26,0,0,0,6,0,3,0,3,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.exceptions,LobbyIsFullException,4,0,0,0,2,0,1,0,1,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.exceptions,GameIsNotALobbyException,4,0,0,0,2,0,1,0,1,0
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.exceptions,ErrorMessage,0,15,0,0,0,6,0,1,0,1
Escape From Elba - L2-01,es.us.dp1.lx_xy_24_25.Escape_From_Elba.exceptions,PlayerAlreadyInALobbyException,4,0,0,0,2,0,1,0,1,0
